temporada,campeon,gc_campeon,mejor_defensa,gc_mejor_defensa
1995-1996,Man United,35,Arsenal,32
1996-1997,Man United,44,Arsenal,32
1997-1998,Arsenal,33,Man United,26
1998-1999,Man United,37,Arsenal,17
1999-2000,Man United,31,Man United,31
2000-2001,Man United,45,Liverpool,30
2001-2002,Arsenal,36,Liverpool,30
2002-2003,Man United,34,Man United,34
2003-2004,Arsenal,23,Arsenal,23
2004-2005,Chelsea,12,Chelsea,12
2005-2006,Chelsea,22,Chelsea,22
2006-2007,Man United,27,Chelsea,24
2007-2008,Man United,22,Man United,22
2008-2009,Man United,24,Man United,24
2009-2010,Chelsea,32,Man United,28
2010-2011,Man United,37,Chelsea,33
2011-2012,Man City,29,Man City,29
2012-2013,Man United,43,Man City,34
2013-2014,Man City,37,Chelsea,27
2014-2015,Chelsea,32,Chelsea,32
2015-2016,Leicester,36,Tottenham,35
2016-2017,Chelsea,33,Tottenham,26
2017-2018,Man City,27,Man City,27
2018-2019,Man City,23,Liverpool,22
2019-2020,Liverpool,33,Liverpool,33
2020-2021,Man City,32,Man City,32
2021-2022,Man City,26,Man City,26
2022-2023,Man City,33,Man City,33
2023-2024,Man City,34,Arsenal,29
2024-2025,Liverpool,41,Arsenal,34
2025-2026,Arsenal,27,Arsenal,27
